id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17891,Large Light Filled Loft,69063,Candace,,Central & Western,22.28327,114.14988,Entire home/apt,1400,60,73,2017-11-29,0.47,1,0,0,
72571,SoHo off Hollywood Road 3A,304876,Brend,,Central & Western,22.28463,114.15054,Entire home/apt,577,2,151,2022-03-11,1.05,10,266,1,
2998876,Double Room with Balcony,14626463,Wendy,,Yau Tsim Mong,22.29659,114.17192,Private room,671,1,0,,,4,365,0,
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28418,114.15431,Entire home/apt,1317,3,285,2022-10-15,2.03,10,343,9,
104626,Entire Flat - Next to Man Mo Temple,544166,Celine,,Central & Western,22.2836,114.1479,Entire home/apt,2317,1,14,2012-02-06,0.10,1,365,0,
923017,Comfort Home in Prince Edward Mtr 4 beds,4971086,Alice,,Yau Tsim Mong,22.32579,114.16701,Entire home/apt,1036,1,356,2021-03-21,3.03,2,1,0,
944283,2 Bed Rooms heart of Central SOHO( sleeps 3),5100812,Nana,,Central & Western,22.28457,114.15375,Entire home/apt,930,4,73,2022-12-14,0.61,2,97,7,
956857,large Room- Heart of Soho/Central,5100812,Nana,,Central & Western,22.28324,114.15418,Private room,351,13,5,2019-04-15,0.04,2,204,0,
132773,Fabulous 2 Bdrm Aprt Open kitchen,304876,Brend,,Central & Western,22.28921,114.14325,Entire home/apt,1551,2,223,2022-12-06,1.60,10,291,14,
2998886,Twin room at Tsim Sha Tsui,14626463,Wendy,,Yau Tsim Mong,22.29609,114.17031,Private room,1430,1,0,,,4,0,0,
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28526,114.14737,Entire home/apt,709,6,37,2021-09-05,0.31,1,364,0,
2999248,Share flat in Sheung Wan,4584648,Ivy,,Central & Western,22.28593,114.15242,Private room,180,30,0,,,383,365,0,
992390,Bright quiet studio in Hong Kong Central district,5181284,Peter,,Central & Western,22.28272,114.15307,Entire home/apt,546,2,158,2022-10-27,1.33,2,79,6,
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28494,114.14901,Entire home/apt,616,2,225,2021-02-16,1.63,10,22,0,
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28657,114.14889,Entire home/apt,799,2,234,2021-08-30,1.69,10,144,0,
2999296,Room in Share flat in Sheung Wan,4584648,Ivy,,Central & Western,22.28662,114.14769,Private room,180,30,1,2014-09-15,0.01,383,365,0,
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,750,1,171,2022-12-05,1.26,1,153,5,
263081,"3 睡房, 2500 平方呎 有工人 Family Friendly! 在中環半山 有車",1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,4510,4,0,,,1,363,0,
1008590,6 bed mixed dorm - Urban Pack Hostel,4812035,Urban Pack,,Yau Tsim Mong,22.29796,114.17181,Shared room,180,30,110,2018-11-24,0.93,6,365,0,
1016855,FURNISHED Sheung Wan FLATSHARE,4584648,Ivy,,Central & Western,22.28665,114.15054,Private room,180,30,2,2016-07-03,0.02,383,365,0,
2999332,Nice Flatshare in Wan Chai,4584648,Ivy,,Wan Chai,22.27834,114.17328,Private room,180,30,1,2014-10-13,0.01,383,365,0,
1022377,Lovely Quiet Apartment With Rooftop,3905388,Janet,,Islands,22.24152,113.97984,Entire home/apt,1057,2,190,2022-12-02,1.75,1,77,11,
2999376,Best Place to Stay in HK~Quarry bay Room (q1b),4584648,Ivy,,Eastern,22.28807,114.20923,Private room,174,30,0,,,383,365,0,
1033352,Room in Wan Chai,4584648,Ivy,,Wan Chai,22.27904,114.18033,Private room,180,30,1,2014-01-04,0.01,383,365,0,
1033353,Sai Ying Poon Room in flatshare,4584648,Ivy,,Wan Chai,22.27761,114.17335,Private room,180,31,1,2015-08-03,0.01,383,365,0,
1046393,Wanchai - Room available,4584648,Ivy,,Wan Chai,22.27841,114.17121,Private room,180,30,0,,,383,365,0,
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.27924,114.16995,Entire home/apt,1069,4,248,2022-09-27,1.85,1,185,5,
2999430,Room in Tin Hau,4584648,Ivy,,Wan Chai,22.28339,114.19076,Private room,180,30,1,2014-08-17,0.01,383,365,0,
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,958,4,41,2022-10-04,0.32,4,328,2,
3002319,Sai Ying Pun MTR 1 min walk withrooftop terrace 63,304876,Brend,,Central & Western,22.28835,114.14827,Entire home/apt,855,2,125,2022-08-21,1.23,10,359,4,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,993,30,20,2015-08-14,0.15,1,359,0,
338157,Harbor view PENTHOUSE with terrace,1137330,Al,,Eastern,22.29182,114.20247,Entire home/apt,950,30,111,2018-07-28,0.85,1,197,0,
1072782,Nice and Big room in Fortress Hill,4584648,Ivy,,Eastern,22.28905,114.19639,Private room,180,30,0,,,383,365,0,
1108132,SOHO'S URBAN CHIC DESIGNERS APT,6084316,Lulu,,Central & Western,22.28071,114.15381,Entire home/apt,702,1,469,2022-12-11,3.99,1,294,41,
382074,Graden Terrace Apt.in Wanchai MTR,1687846,Sinsin,,Wan Chai,22.27459,114.17056,Entire home/apt,880,14,36,2018-07-28,0.31,2,365,0,
3021624,Wanchai cozy 3BR+2Bath for 5 (Heart of HK),15397373,Carina,,Wan Chai,22.27891,114.17636,Entire home/apt,1090,2,165,2022-12-13,1.59,1,109,19,
1145659,CWB Room,4584648,Ivy,,Wan Chai,22.27655,114.18077,Private room,180,29,0,,,383,364,0,
3052764,Walk To HKU. Room in STT,4584648,Ivy,,Central & Western,22.28731,114.13867,Private room,180,30,0,,,383,364,0,
1149104,++Welcome for short term rent ++,4584648,Ivy,,Yau Tsim Mong,22.29925,114.17537,Private room,180,60,0,,,383,365,0,
1149202,Tsimshatsui Room in Flat Share (T5b),4584648,Ivy,,Yau Tsim Mong,22.29734,114.17478,Private room,180,30,0,,,383,0,0,
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,,Central & Western,22.28537,114.14238,Entire home/apt,1241,3,21,2020-01-04,0.17,1,237,0,
505160,"Apartment located in Stanley, H.K.",1443229,Alice,,Southern,22.21959,114.20952,Entire home/apt,724,7,29,2020-08-07,0.28,4,340,0,
3068952,ULTIMATE Exec Pad / Staycation in Taikoo Shing,15618499,Martin,,Eastern,22.286547,114.214851,Entire home/apt,1250,6,7,2022-08-17,0.54,1,18,3,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,885,1,246,2022-11-29,1.92,1,344,27,
524265,Modern Designer Flat near Central,1443229,Alice,,Central & Western,22.28361,114.13168,Entire home/apt,880,2,35,2019-08-21,0.31,4,363,0,
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,185,1,113,2019-11-10,0.91,45,365,0,
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,185,1,25,2019-06-14,0.29,45,365,0,
1149491,Fully furnished apartment,4584648,Ivy,,Eastern,22.2884,114.199,Private room,180,29,2,2015-11-26,0.02,383,0,0,
1164099,"Near with SOHO, for Long/Short term",4584648,Ivy,,Central & Western,22.28082,114.15233,Private room,180,30,0,,,383,357,0,
1165573,Mid-level 1br/1ba by escalator,4258815,Faye,,Central & Western,22.28122,114.15135,Entire home/apt,1013,3,137,2022-11-13,1.18,1,48,11,
1171633,Near MTR Welcome for short/longterm,4584648,Ivy,,Central & Western,22.28528,114.15186,Private room,180,31,2,2015-08-16,0.02,383,365,0,
3069740,1 bdrm shared apartment @ HK Uni 1,304876,Brend,,Central & Western,22.28436,114.13802,Private room,444,4,40,2022-09-09,0.41,10,341,3,
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31585,114.16888,Private room,310,2,101,2019-12-12,0.99,12,0,0,
1187498,Nice room in Sheung Wan,4584648,Ivy,,Central & Western,22.28564,114.14785,Private room,180,30,2,2013-09-14,0.02,383,365,0,
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,185,1,165,2022-10-25,1.30,45,365,2,
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,185,1,28,2019-05-08,0.22,45,365,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,2398,1,14,2022-04-17,0.15,3,23,1,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25552,113.86369,Hotel room,1592,1,44,2022-11-25,0.42,3,25,8,
3069823,1 bdrm shared apartment @ HK Uni 2,304876,Brend,,Central & Western,22.28543,114.13787,Private room,538,5,21,2022-11-28,0.20,10,339,3,
1187557,The cheaper room! Near with HKU!!!!,4584648,Ivy,,Central & Western,22.2845,114.12888,Private room,180,30,0,,,383,364,0,
3069856,1 bdrm shared apartment @ HK Uni 3,304876,Brend,,Central & Western,22.28401,114.13914,Private room,538,4,12,2019-09-04,0.12,10,237,0,
1187738,Furnished Studio in western HK,4584648,Ivy,,Sham Shui Po,22.33247,114.16271,Private room,217,30,0,,,383,365,0,
1187739,Bright room Welcome for short term!,4584648,Ivy,,Sham Shui Po,22.3323,114.16243,Private room,180,30,0,,,383,365,0,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25575,113.86351,Hotel room,1182,1,28,2022-08-01,0.25,3,23,3,
3069865,1 bdrm shared apartment @ HK Uni 4,304876,Brend,,Central & Western,22.28431,114.13778,Private room,538,5,17,2022-03-25,0.16,10,265,1,
3085792,INCREDIBLE Architect Design DUPLEX,15586744,Sven,,Sha Tin,22.38455,114.1877,Entire home/apt,1550,28,7,2018-02-28,0.07,15,308,0,
603232,Discovery Bay - Spacious 2  Bedroom apartment,2986287,Tish,,Islands,22.29313,114.01591,Entire home/apt,1200,5,36,2022-09-04,0.33,1,8,9,
1187770,ROOFTOP room ( SUPER close to MTR),4584648,Ivy,,Yau Tsim Mong,22.31447,114.17082,Private room,180,29,0,,,383,364,0,
3106194,Central Room in share flat,4584648,Ivy,,Central & Western,22.28513,114.15157,Private room,180,30,0,,,383,365,0,
1226450,Flat share in Sheung Wan,4584648,Ivy,,Central & Western,22.28796,114.14945,Private room,180,31,1,2016-02-28,0.01,383,364,0,
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.276,114.1736,Entire home/apt,1000,1125,19,2013-08-31,0.15,1,0,0,
3115717,Short-term stay in Hong Kong,15831550,Timothy,,Islands,22.30425,114.00937,Entire home/apt,1200,2,134,2022-11-20,1.29,1,355,11,
3140677,BIG 1 BEDROOM + Office - QUIET,8659457,Kay,,Central & Western,22.28421,114.1497,Entire home/apt,1200,28,74,2020-11-01,0.71,3,123,0,
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Hotel room,263,1,148,2022-11-10,1.18,5,1,1,
1229848,"Cool Stanley Surf Flat, big rftp summer mth discnt",6708889,Marcos,,Southern,22.21892,114.21369,Entire home/apt,1000,30,30,2019-06-08,0.27,2,336,0,
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31214,114.17227,Private room,620,30,0,,,383,365,0,
3152441,AMAZING Top Floor Seaview STAR Ensuite,15586744,Sven,,Sai Kung,22.29396,114.27094,Private room,600,28,8,2019-06-20,0.08,15,0,0,
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,280,3,37,2020-01-09,0.29,5,0,0,
3170735,280 sq ft Open Concept Jordan Kowloon,3687211,Edna,,Yau Tsim Mong,22.30374,114.16949,Entire home/apt,590,2,6,2022-11-11,0.06,1,342,2,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,337,28,10,2022-03-28,0.08,4,214,1,
728126,Nice View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31808,114.1706,Private room,420,28,17,2017-10-08,0.14,4,3,0,
733192,Peaceful Two Bedroom 2 Min walk to Mong Kok MTR,3820308,David,,Yau Tsim Mong,22.32135,114.16919,Entire home/apt,741,1,83,2022-11-22,0.67,13,272,5,
1476913,Neat Cozy Studio for 1-3 @ Wan Chai,2716535,Jade,,Wan Chai,22.27834,114.17437,Entire home/apt,564,2,9,2016-05-04,0.08,2,178,0,
1534018,Old Hong Kong charm,8178525,Lesley,,Central & Western,22.28611,114.13637,Private room,750,3,1,2014-08-18,0.01,1,270,0,
1591100,Large Bright Designer Apartment,168410,Edmond,,Central & Western,22.28725,114.14153,Entire home/apt,1094,2,4,2022-11-06,1.52,1,1,4,
1623311,Spacious homey 1BR in Central SoHo Area,8632157,Sara,,Central & Western,22.28115,114.15348,Entire home/apt,800,7,7,2015-12-28,0.06,1,0,0,
1642196,Taikoo Shing Luxury 1024 sqft High-Floor Apt,1190017,Paul,,Eastern,22.28934,114.21915,Entire home/apt,2000,30,0,,,3,365,0,
